index,site_id,lon,lat,notes,stream_width_m,basin_size_km2,figure_table,id,mass_type,mass_units,acsp,aisp,eph_sp,ple_sp,tri_sp,chi_sp,other_sp
193,Iversen_1988_RoldKilde,9.883,56.767,Double check values; paper reports inconsistent values and units?,NA,NA,NA,1,AFDM,mg,NA,3088.888888888889,2244.4444444444443,644.4444444444445,NA,NA,200
38,Gaines_EtAl_1992_DouglasCreek,-120,47.61,Values as dry mass (not ash free). Chironomus (not Chironomidae),NA,530,NA,2,DM,mg,NA,23219,884,183,2550,4920,4482
39,Gaines_EtAl_1992_RattlesnakeSprings,-119.72,46.46,NA,NA,350,NA,3,DM,mg,NA,16356,2554,NA,735,489,12570
40,Gaines_EtAl_1992_SnivelySprings,-119.79,46.49,NA,NA,40,NA,4,DM,mg,NA,14154,7077,NA,1300,1390,4387
120,Walther_Whiles_2011_BC1_Yr1,-89.16,37.41,AFDM,6.4,NA,NA,5,AFDM,mg,57975.555555555555,NA,NA,NA,NA,NA,NA
121,Walther_Whiles_2011_BC1_Yr2,-89.16,37.41,No direct data on insects,6.4,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,Walther_Whiles_2011_BC2_Yr1,-89.15,37.4,No direct data on insects,4.6,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,Walther_Whiles_2011_BC2_Yr2,-89.15,37.4,No direct data on insects,4.6,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,Stead_EtAl_2005_LoneOak,0.1,51.075,Dry Weight,3,NA,NA,9,DM,mg,5220,2450,70,850,460,850,230
88,Neves_1979_FactoryBrook,-73.03,42.34,Cant access the pdf,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Griffith_EtAl_1994_FernowExperimentalForest_WS3,-79.68,39.05,No chironomids,2,NA,NA,11,DM,mg,2061,1666.2,38.400000000000006,440.3,470.8,NA,716.7
43,Griffith_EtAl_1994_FernowExperimentalForest_WS4,-79.68,39.05,NA,2,NA,NA,12,DM,mg,1557,1243.3000000000002,73.2,645.8000000000001,247.7,NA,276.6
44,Griffith_EtAl_1994_NorthForkHickmanSlideRun,-79.66,39.32,NA,2,NA,NA,13,DM,mg,3772,888,79.2,260.09999999999997,83.5,NA,465.20000000000005
45,Griffith_EtAl_1994_SouthForkRedRun,-79.513,39.053,NA,2.7,NA,NA,14,DM,mg,1189,1060.6000000000001,60.7,906.8000000000001,90.7,NA,2.4
148,Jackson_Fisher_1986_SycamoreCreek,-111.5,33.75,NA,NA,NA,NA,15,DM,mg,NA,129900,55600,NA,1390,5830,NA
213,Ramirez_Pringle_1998_Sabalo,-84.017,10.433,Size-Freq method. Habitat-weighted. Tropical. Only 8 taxa with prod (20% of insect biomass),5,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Ramirez_Pringle_1998_Sabalo,-84.017,10.433,Benke model method. Mean Riffle + Pool,5,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Ramirez_Pringle_1998_Sabalo,-84.017,10.433,Total AISP combining both methods above.,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,Duffy_EtAl_1987_StMarysRiver_Michigan_MainChannel,-84.226,46.368,Could only find data from the lake,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,Hall_EtAl_2001_BearBrook,-71.72,43.94,NA,NA,NA,NA,20,AFDM,mg,NA,NA,941.888888888889,1353.888888888889,924.2222222222222,546.5555555555555,698.9
59,Hall_EtAl_2001_HubbardBrook,-71.69,43.93,NA,NA,NA,NA,21,AFDM,mg,NA,NA,992.6666666666669,462.8888888888889,571.6666666666667,630.5555555555555,529.6666666666666
143,Voshell_1985_NewRiver,-80.886,37.646,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Cross_EtAl_2006_C53_Reference,-83.45,35.06,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Cross_EtAl_2006_C54_NP_Enriched,-83.44,35.06,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,Huryn_1996_SuttonStream,170.32,-44.518,My results in adding up the prod.values are different from those on the paper,NA,NA,NA,25,AFDM,mg,18678.88888888889,15818.888888888889,2416.666666666667,1110,5595.555555555556,NA,2860
105,Vandermyde_Whiles_2015_K02A_Closed,-96.57,39.1,NA,NA,NA,NA,26,AFDM,mg,27980.44444444445,11901.555555555557,6552.111111111111,47.88888888888889,479.5555555555556,NA,16078.888888888892
106,Vandermyde_Whiles_2015_K02A_Open,-96.57,39.1,NA,NA,NA,NA,27,AFDM,mg,29325.44444444445,10097.555555555555,4680.222222222223,52.111111111111114,137.88888888888889,NA,19227.88888888889
107,Vandermyde_Whiles_2015_K02A_Removal,-96.57,39.1,NA,NA,NA,NA,28,AFDM,mg,19045.555555555555,9025.777777777777,3787.777777777778,123.77777777777779,297.22222222222223,NA,10019.777777777777
108,Vandermyde_Whiles_2015_N04D_Closed,-96.58,39.08,NA,NA,NA,NA,29,AFDM,mg,10864.444444444445,9780,4067.777777777778,96.00000000000001,376.11111111111114,NA,1084.4444444444446
109,Vandermyde_Whiles_2015_N04D_Open,-96.58,39.08,NA,NA,NA,NA,30,AFDM,mg,8137.777777777778,6824.444444444444,3104.444444444445,84.22222222222223,335.22222222222223,NA,1313.3333333333335
110,Vandermyde_Whiles_2015_N04D_Removal,-96.58,39.08,NA,NA,NA,NA,31,AFDM,mg,13625.555555555557,9779.888888888889,5629.888888888889,93.55555555555556,732.6666666666666,NA,3845.6666666666674
46,Grubaugh_EtAl_1997_BallCreek1_M1,-83.4,35.06,"table 7 has some taxonomic info in terms of relative contribution to production. But it only has the top 3 taxa. Columns only sum to ~85-95%. Hence, I did not try to estimate insect only production.",NA,NA,table 8,32,AFDM,g,6666.666666666667,NA,NA,NA,NA,NA,NA
46,Grubaugh_EtAl_1997_BallCreek1_S1,-83.4,35.06,"table 7 has some taxonomic info in terms of relative contribution to production. But it only has the top 3 taxa. Columns only sum to ~85-95%. Hence, I did not try to estimate insect only production.",NA,NA,NA,33,AFDM,g,6666.666666666667,NA,NA,NA,NA,NA,NA
46,Grubaugh_EtAl_1997_BallCreek2_M2,-83.4,35.06,"table 7 has some taxonomic info in terms of relative contribution to production. But it only has the top 3 taxa. Columns only sum to ~85-95%. Hence, I did not try to estimate insect only production.",NA,NA,NA,34,AFDM,g,5555.555555555556,NA,NA,NA,NA,NA,NA
46,Grubaugh_EtAl_1997_BallCreek2_S2,-83.4,35.06,"table 7 has some taxonomic info in terms of relative contribution to production. But it only has the top 3 taxa. Columns only sum to ~85-95%. Hence, I did not try to estimate insect only production.",NA,NA,NA,35,AFDM,g,8888.888888888889,NA,NA,NA,NA,NA,NA
46,Grubaugh_EtAl_1997_BallCreek3_M3,-83.4,35.06,"table 7 has some taxonomic info in terms of relative contribution to production. But it only has the top 3 taxa. Columns only sum to ~85-95%. Hence, I did not try to estimate insect only production.",NA,NA,NA,36,AFDM,g,14444.444444444445,NA,NA,NA,NA,NA,NA
46,Grubaugh_EtAl_1997_BallCreek3_S3,-83.4,35.06,"table 7 has some taxonomic info in terms of relative contribution to production. But it only has the top 3 taxa. Columns only sum to ~85-95%. Hence, I did not try to estimate insect only production.",NA,NA,NA,37,AFDM,g,5555.555555555556,NA,NA,NA,NA,NA,NA
46,Grubaugh_EtAl_1997_CoweetaCreek_M4,-83.4,35.06,"table 7 has some taxonomic info in terms of relative contribution to production. But it only has the top 3 taxa. Columns only sum to ~85-95%. Hence, I did not try to estimate insect only production.",NA,NA,NA,38,AFDM,g,23333.333333333336,NA,NA,NA,NA,NA,NA
46,Grubaugh_EtAl_1997_CoweetaCreek_M5,-83.4,35.06,"table 7 has some taxonomic info in terms of relative contribution to production. But it only has the top 3 taxa. Columns only sum to ~85-95%. Hence, I did not try to estimate insect only production.",NA,NA,NA,39,AFDM,g,7777.777777777778,NA,NA,NA,NA,NA,NA
46,Grubaugh_EtAl_1997_LittleTennesseeRiver_R1,-83.4,35.06,"table 7 has some taxonomic info in terms of relative contribution to production. But it only has the top 3 taxa. Columns only sum to ~85-95%. Hence, I did not try to estimate insect only production.",NA,NA,NA,40,AFDM,g,24444.444444444445,NA,NA,NA,NA,NA,NA
46,Grubaugh_EtAl_1997_LittleTennesseeRiver_R2,-83.4,35.06,"table 7 has some taxonomic info in terms of relative contribution to production. But it only has the top 3 taxa. Columns only sum to ~85-95%. Hence, I did not try to estimate insect only production.",NA,NA,NA,41,AFDM,g,171111.11111111112,NA,NA,NA,NA,NA,NA
46,Grubaugh_EtAl_1997_LittleTennesseeRiver_R3,-83.4,35.06,"table 7 has some taxonomic info in terms of relative contribution to production. But it only has the top 3 taxa. Columns only sum to ~85-95%. Hence, I did not try to estimate insect only production.",NA,NA,NA,42,AFDM,g,134444.44444444444,NA,NA,NA,NA,NA,NA
197,Mortensen_Simonsen_1983_BisballeBaek,9.333,56.367,"mean annual standing stock (not production, despite the title)",NA,NA,Table 1,43,AFDM,g,7111.111111111111,5111.111111111111,111.11111111111111,222.22222222222223,2444.4444444444443,666.6666666666667,1555.5555555555557
155,Woodward_EtAl_2005_Broadstone,0.05,51.083,NA,NA,NA,Table 5,44,DM,g,4600,3600,1,895,770,1435,512
111,Venarsky_EtAl_2014_Hering,-85.98,34.79,Cave System. Added crayfish production (table 2) to non-crayfish macroinvertebrate production (table 4),NA,NA,"Tables 2, 4",45,AFDM,g,166.66666666666669,NA,NA,NA,NA,NA,NA
112,Venarsky_EtAl_2014_Limrock,-85.98,34.79,Cave System. Added crayfish production (table 2) to non-crayfish macroinvertebrate production (table 4),NA,NA,"Tables 2, 4",46,AFDM,g,300,NA,NA,NA,NA,NA,NA
113,Venarsky_EtAl_2014_TonySinks,-85.98,34.79,Cave System. Added crayfish production (table 2) to non-crayfish macroinvertebrate production (table 4),NA,NA,"Tables 2, 4",47,AFDM,g,2000,NA,NA,NA,NA,NA,NA
79,McCutchan_Lewis_2002_Alpine_9495,-105.63,40.23,"1994 to 1995: ""Other taxa"" in Appendix 1...not clear if that is only insects or not. It was left out",NA,NA,Appendix Table 1/ Table 2,48,DM,mg,5780,NA,1810,407,711,1736,104
79,McCutchan_Lewis_2002_Alpine_9596,-105.63,40.23,"1995 to 1996: ""Other taxa"" in Appendix 1...not clear if that is only insects or not. It was left out",NA,NA,Appendix Table 1/ Table 2,49,DM,mg,4710,NA,1353,545,86,1056,253
80,McCutchan_Lewis_2002_Foothills_9495,-105.44,40.21,"1994 to 1995: ""Other taxa"" in Appendix 1...not clear if that is only insects or not. It was left out",NA,NA,Appendix Table 1/ Table 2,50,DM,mg,1210,NA,2980,592,5297,1358,602
80,McCutchan_Lewis_2002_Foothills_9596,-105.44,40.21,"1995 to 1996: ""Other taxa"" in Appendix 1...not clear if that is only insects or not. It was left out",NA,NA,Appendix Table 1/ Table 2,51,DM,mg,1010,NA,3759,1263,1978,817,1187
81,McCutchan_Lewis_2002_Montane_9495,-105.52,40.21,"1994 to 1995: ""Other taxa"" in Appendix 1...not clear if that is only insects or not. It was left out",NA,NA,Appendix Table 1/ Table 2,52,DM,mg,8110,NA,2859,547,1832,941,947
81,McCutchan_Lewis_2002_Montane_9596,-105.52,40.21,"1995 to 1996: ""Other taxa"" in Appendix 1...not clear if that is only insects or not. It was left out",NA,NA,Appendix Table 1/ Table 2,53,DM,mg,6340,NA,2378,689,628,838,651
82,McCutchan_Lewis_2002_Subalpine_9495,-105.63,40.21,"1994 to 1995: ""Other taxa"" in Appendix 1...not clear if that is only insects or not. It was left out",NA,NA,Appendix Table 1/ Table 2,54,DM,mg,4710,NA,729,749,255,1421,894
82,McCutchan_Lewis_2002_Subalpine_9596,-105.63,40.21,"1995 to 1996: ""Other taxa"" in Appendix 1...not clear if that is only insects or not. It was left out",NA,NA,Appendix Table 1/ Table 2,55,DM,mg,3330,NA,666,507,249,1090,450
28,Entrekin_EtAl_2009_ShaneCreek_AfterWood_yr1,-88.9,46.47,Entrekin et al. (2007) J.N.Am.Benthol.Soc. has similar data. Did not include those to avoid redundancy.,2.4,NA,Figure 2,56,AFDM,g,1000,NA,NA,NA,NA,NA,NA
28,Entrekin_EtAl_2009_ShaneCreek_AfterWood_yr2,-88.9,46.47,NA,2.5,NA,Figure 2,57,AFDM,g,1666.6666666666667,NA,NA,NA,NA,NA,NA
28,Entrekin_EtAl_2009_ShaneCreek_AfterWood_yr3,-88.9,46.47,NA,2.5,NA,Figure 2,58,AFDM,g,1222.2222222222222,NA,NA,NA,NA,NA,NA
30,Entrekin_EtAl_2009_StateCreek_AfterWood_yr1,-88.9,46.42,Entrekin et al. (2007) J.N.Am.Benthol.Soc. has similar data. Did not include those to avoid redundancy.,2.1,NA,Figure 2,59,AFDM,g,3444.444444444445,NA,NA,NA,NA,NA,NA
30,Entrekin_EtAl_2009_StateCreek_AfterWood_yr2,-88.9,46.42,NA,2.3,NA,Figure 2,60,AFDM,g,1777.7777777777778,NA,NA,NA,NA,NA,NA
30,Entrekin_EtAl_2009_StateCreek_AfterWood_yr3,-88.9,46.42,NA,2.3,NA,Figure 2,61,AFDM,g,3000,NA,NA,NA,NA,NA,NA
32,Entrekin_EtAl_2009_WaltonCreek_AfterWood_yr1,-88.9,46.44,Entrekin et al. (2007) J.N.Am.Benthol.Soc. has similar data. Did not include those to avoid redundancy.,1.8,NA,Figure 2,62,AFDM,g,1222.2222222222222,NA,NA,NA,NA,NA,NA
32,Entrekin_EtAl_2009_WaltonCreek_AfterWood_yr2,-88.9,46.44,NA,2.4,NA,Figure 2,63,AFDM,g,1444.4444444444446,NA,NA,NA,NA,NA,NA
32,Entrekin_EtAl_2009_WaltonCreek_AfterWood_yr3,-88.9,46.44,NA,2.4,NA,Figure 2,64,AFDM,g,1000,NA,NA,NA,NA,NA,NA
9,Chadwick_Huryn_2005_EBB_Yr1,-68.13,44.89,NA,NA,NA,"Results paragraph, first sentence",65,AFDM,mg,1868.888888888889,1809.3333333333335,0.24444444444444446,572.6666666666666,543,270.41111111111115,NA
10,Chadwick_Huryn_2005_EBB_Yr2,-68.13,44.89,NA,NA,NA,"Results paragraph, first sentence",66,AFDM,mg,2523.3333333333335,2396,1.5777777777777777,747.3333333333334,693.7777777777778,262.81111111111113,NA
11,Chadwick_Huryn_2005_WBB_N_Yr1,-68.14,44.88,NA,NA,NA,"Results paragraph, first sentence",67,AFDM,mg,1837.7777777777778,1748.777777777778,0,627,851.3333333333334,268.1888888888889,NA
12,Chadwick_Huryn_2005_WBB_N_Yr2,-68.14,44.88,NA,NA,NA,"Results paragraph, first sentence",68,AFDM,mg,2536.666666666667,2356.333333333333,0.12222222222222223,783.3333333333334,671.5555555555555,246.8444444444444,NA
131,Chadwick_Huryn_2007_EU,-68.12,44.88,"Taxa-specific results are given in appendix. But it is not clear if the values are habitat-weighted. Hence, they were not entered here.",NA,NA,"pg244, 3rd paragraph",69,AFDM,g,1866.6666666666667,NA,NA,NA,NA,NA,NA
13,Chadwick_Huryn_2007_BB,-68.12,44.88,"Taxa-specific results are given in appendix. But it is not clear if the values are habitat-weighted. Hence, they were not entered here.",NA,NA,"pg244, 3rd paragraph",70,AFDM,g,2222.222222222222,NA,NA,NA,NA,NA,NA
14,Chadwick_Huryn_2007_ED,-68.12,44.88,"Taxa-specific results are given in appendix. But it is not clear if the values are habitat-weighted. Hence, they were not entered here.",NA,NA,"pg244, 3rd paragraph",71,AFDM,g,2433.3333333333335,NA,NA,NA,NA,NA,NA
15,Chadwick_Huryn_2007_SWP,-68.1,44.88,"Taxa-specific results are given in appendix. But it is not clear if the values are habitat-weighted. Hence, they were not entered here.",NA,NA,"pg244, 3rd paragraph",72,AFDM,g,3211.1111111111113,NA,NA,NA,NA,NA,NA
16,Chadwick_Huryn_2007_WD,-68.12,44.88,"Taxa-specific results are given in appendix. But it is not clear if the values are habitat-weighted. Hence, they were not entered here.",NA,NA,"pg244, 3rd paragraph",73,AFDM,g,2322.222222222222,NA,NA,NA,NA,NA,NA
17,Chadwick_Huryn_2007_WU,-68.14,44.88,"Taxa-specific results are given in appendix. But it is not clear if the values are habitat-weighted. Hence, they were not entered here.",NA,NA,"pg244, 3rd paragraph",74,AFDM,g,1833.3333333333335,NA,NA,NA,NA,NA,NA
41,Georgian_Wallace_1983_LowerShopeFork,-83.43,35.06,"Did not enter. the abstract says 1195 mg AFDM m2 y1, but that appears to be based only on the ""top 6 most abundant"" taxa. It's not clear what percentage of total mass that those top 6 taxa comprise. If they make up less than ~ 95%, then the total annual production is likely not reliable.",5.5,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,Junker_Cross_2014_WestBlacktailDeerCreek,-112.25,44.76,"In Table 1, only insects are listed. There is an ""other"" category that has 77 mg AFDM m2 y1. That amount is included in the total here. in other words, I assumed that all community production = all insect production.",3.5,NA,Table 1,76,AFDM,mg,8442.222222222223,8442.222222222223,3137.777777777778,931.1111111111112,357.77777777777777,505.5555555555556,3483.3333333333335
35,Fisher_Gray_1983_SycamoreCreek,-111.5,33.75,"Did not enter. The data are for collectors only. They do have a table with annual prod for total benthos from other studies. Need to check if we already include those studies, though.",NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,Hopkins_1976_HorokiwiStream_Gyton_Open,174.9,-41.1,No Insect production reported,NA,NA,NA,78,DM,g,11930,NA,NA,NA,NA,NA,NA
187,Hopkins_1976_HorokiwiStream_Bush_Shaded,174.9,-41.1,No Insect production reported,NA,NA,NA,79,DM,g,5490,NA,NA,NA,NA,NA,NA
188,Hopkins_1976_HorokiwiStream_Lower_Open,174.9,-41.1,No Insect production reported,NA,NA,NA,80,DM,g,10270,NA,NA,NA,NA,NA,NA
189,Hopkins_1976_HinauStream_NorthBranch_Open,175.483,-40.967,No Insect production reported,NA,NA,NA,81,DM,g,1640,NA,NA,NA,NA,NA,NA
190,Hopkins_1976_HinauStream_SouthBranch_Closed,175.483,-40.967,No Insect production reported,NA,NA,NA,82,DM,g,840,NA,NA,NA,NA,NA,NA
191,Hopkins_1976_HinauStream_Main_OrgEnrich,175.483,-40.967,No Insect production reported,NA,NA,NA,83,DM,g,1610,NA,NA,NA,NA,NA,NA
61,Johnson_EtAl_2013_AshRun,-81.1,38.29,Chironomid values are actually nematoceran article; Paper derives benthic production from emergence; Data extracted from Figure 2 using https://apps.automeris.io/wpd/;,NA,NA,NA,84,AFDM,g,20666.666666666668,20666.666666666668,2444.4444444444443,9666.666666666668,NA,8555.555555555557,NA
62,Johnson_EtAl_2013_BucklesRun,-81.19,38.23,Chironomid values are actually nematoceran article; Paper derives benthic production from emergence; Data extracted from Figure 2 using https://apps.automeris.io/wpd/;,NA,NA,NA,85,AFDM,g,73444.44444444445,73444.44444444445,NA,7777.777777777778,NA,65666.66666666667,NA
65,Johnson_EtAl_2013_HardwayRun,-81.04,38.3,Chironomid values are actually nematoceran article; Paper derives benthic production from emergence; Data extracted from Figure 2 using https://apps.automeris.io/wpd/;,NA,NA,NA,86,AFDM,g,19888.88888888889,19888.88888888889,NA,4555.555555555556,NA,15333.333333333334,NA
67,Johnson_EtAl_2013_JackRun,-81.12,38.28,Chironomid values are actually nematoceran article; Paper derives benthic production from emergence; Data extracted from Figure 2 using https://apps.automeris.io/wpd/;,NA,NA,NA,87,AFDM,g,30555.55555555556,30555.55555555556,8555.555555555557,8777.777777777777,NA,13222.222222222223,NA
68,Johnson_EtAl_2013_LaurelRun,-81.11,38.3,Chironomid values are actually nematoceran article; Paper derives benthic production from emergence; Data extracted from Figure 2 using https://apps.automeris.io/wpd/;,NA,NA,NA,88,AFDM,g,23888.88888888889,23888.88888888889,4777.777777777778,6111.111111111111,NA,13000,NA
70,Johnson_EtAl_2013_NeilRun,-81.08,38.29,Chironomid values are actually nematoceran article; Paper derives benthic production from emergence; Data extracted from Figure 2 using https://apps.automeris.io/wpd/;,NA,NA,NA,89,AFDM,g,22888.88888888889,22888.88888888889,4777.777777777778,4333.333333333334,NA,13777.77777777778,NA
